popularity,budget,revenue,original_title,director,runtime,vote_count,vote_average,release_year,budget_adj,revenue_adj,gain,release_month,main_hero,genere1,company1
2.234573,150000000,128388320,Pan,Joe Wright,111,586,5.9,2015,137999939.280026,118117202.42843,0.8559221333333333,9,Levi Miller,Adventure,Warner Bros.
2.140199,99000000,246233113,The Peanuts Movie,Steve Martino,88,414,6.4,2015,91079959.92481759,226534364.284879,2.4872031616161614,11,Noah Schnapp,Adventure,Blue Sky Studios
2.121884,35000000,48623572,Concussion,Peter Landesman,123,500,6.9,2015,32199985.8320062,44733666.5571867,1.3892449142857144,11,Will Smith,Drama,Village Roadshow Pictures
2.096273,25000000,52395996,The Night Before,Jonathan Levine,100,363,6.1,2015,22999989.8800044,48204295.110110104,2.09583984,11,Joseph Gordon-Levitt,Comedy,Sony Pictures
2.0809349999999998,2500000,5214043,Knock Knock,Eli Roth,99,473,4.8,2015,2299998.98800044,4796917.44935632,2.0856172,6,Keanu Reeves,Drama,Universum Film (UFA)
2.070708,34000000,63013281,The Longest Ride,"George Tillman, Jr.",128,711,7.3,2015,31279986.236806,57972193.012235,1.853331794117647,4,Scott Eastwood,Romance,Fox 2000 Pictures
2.060162,80000000,466183544,Hotel Transylvania 2,Genndy Tartakovsky,89,919,6.8,2015,73599967.61601421,428888671.76898396,5.8272943,9,Adam Sandler,Animation,Columbia Pictures
2.055572,17000000,24000000,Love the Coopers,Jessie Nelson,107,111,5.3,2015,15639993.118403,22079990.2848042,1.411764705882353,11,Steve Martin,Family,Imagine Entertainment
2.049886,35000000,61181942,The Walk,Robert Zemeckis,123,706,6.8,2015,32199985.8320062,56287361.873560704,1.7480554857142858,9,Joseph Gordon-Levitt,Adventure,TriStar Pictures
2.0266509999999998,11000000,1863315,Tracers,Daniel Benmayor,94,326,5.9,2015,10119995.5472019,1714249.04573042,0.16939227272727272,1,Marie Avgeropoulos,Action,Temple Hill Entertainment
2.000338,31000000,104384188,Vacation,John Francis Daley|Jonathan M. Goldstein,99,846,6.1,2015,28519987.4512055,96033410.70529921,3.367231870967742,7,Ed Helms,Adventure,New Line Cinema
1.984529,35000000,95437994,Poltergeist,Gil Kenan,93,589,5.0,2015,32199985.8320062,87802915.846717,2.7267998285714286,5,Sam Rockwell,Horror,Ghost House Pictures
1.9800389999999999,4000000,187112,Maggie,Henry Hobson,95,384,5.1,2015,3679998.38080071,172142.964257095,0.046778,5,Arnold Schwarzenegger,Horror,Lionsgate
1.95632,50000000,3324330,Child 44,Daniel Espinosa,137,341,5.9,2015,45999979.7600089,3058382.2543117995,0.0664866,3,Tom Hardy,Crime,Summit Entertainment
1.926739,5000000,58978653,The Gift,Joel Edgerton,108,631,6.6,2015,4599997.97600089,54260336.885451704,11.7957306,7,Jason Bateman,Thriller,Blumhouse Productions
1.904898,50000000,240360392,Daddy's Home,Sean Anders,96,568,5.7,2015,45999979.7600089,221131463.342156,4.80720784,12,Will Ferrell,Comedy,Paramount Pictures
1.865007,64000000,97571250,The Little Prince,Mark Osborne,92,423,7.5,2015,58879974.0928114,89765510.50317529,1.52455078125,7,Jeff Bridges,Adventure,Onyx Films
1.82313,11930000,18340000,The Dressmaker,Jocelyn Moorhouse,118,197,6.9,2015,10975595.1707381,16872792.5759712,1.537300922045264,10,Kate Winslet,Drama,Amazon Studios
1.758618,8500000,43528634,The DUFF,Ari Sandel,100,753,6.8,2015,7819996.55920151,40046325.65961671,5.1210157647058825,2,Mae Whitman,Romance,Wonderland Sound and Vision
1.742286,10000000,52882018,Sinister 2,Ciaran Foy,97,331,5.5,2015,9199995.95200178,48651435.1533685,5.2882018,8,Shannyn Sossamon,Horror,Alliance Films
1.73518,30000000,107597242,Paul Blart: Mall Cop 2,Andy Fickman,94,422,5.3,2015,27599987.856005296,98989419.0846556,3.5865747333333333,4,Kevin James,Action,Columbia Pictures
1.6510779999999898,4000000,50163103,The Boy Next Door,Rob Cohen,91,810,3.9,2015,3679998.38080071,46150034.4539848,12.54077575,1,Jennifer Lopez,Thriller,Universal Pictures
1.532997,30000000,49263404,Entourage,Doug Ellin,104,364,6.2,2015,27599987.856005296,45322311.73818279,1.6421134666666666,6,Jeremy Piven,Comedy,Warner Bros.
1.5100959999999999,23000000,79799880,The Wedding Ringer,Jeremy Garelick,101,446,6.5,2015,21159990.689604,73415857.2970227,3.46956,1,Kevin Hart,Comedy,Miramax Films
1.499614,15000000,14860766,Scouts Guide to the Zombie Apocalypse,Christopher B. Landon,93,288,6.2,2015,13799993.9280026,13671898.704364501,0.9907177333333334,10,Tye Sheridan,Comedy,Paramount Pictures
1.495112,5000000,98450062,The Visit,M. Night Shyamalan,94,729,5.9,2015,4599997.97600089,90574017.18743241,19.6900124,9,Olivia DeJonge,Horror,Blumhouse Productions
1.4832459999999899,53000000,99775678,Black Mass,Scott Cooper,122,848,6.3,2015,48759978.5456094,91793583.3708233,1.882559962264151,9,Johnny Depp,Crime,Infinitum Nihil
1.449072,8900000,50136,Heist,Scott Mann,93,233,5.4,2015,8187996.39728158,46125.099704956105,0.0056332584269662925,11,Jeffrey Dean Morgan,Crime,Emmett/Furla Films
1.448002,15000000,61548707,Krampus,Michael Dougherty,98,342,5.9,2015,13799993.9280026,56624785.5250943,4.103247133333333,11,Adam Scott,Horror,Universal Pictures
1.443406,20000000,208588,Dark Places,Gilles Paquet-Brenner,113,322,5.7,2015,18399991.9040035,191900.87556361398,0.0104294,3,Charlize Theron,Drama,Denver and Delilah Productions
1.41239,5000000,54418872,No Escape,John Erick Dowdle,103,519,6.7,2015,4599997.97600089,50065340.2112503,10.8837744,8,Owen Wilson,Action,Bold Films
1.40805,700000,17986781,Dope,Rick Famuyiwa,103,448,7.3,2015,643999.716640124,16547831.2389542,25.69540142857143,6,Shameik Moore,Crime,Forest Whitaker's Significant Productions
1.3882510000000001,28000000,28208085,American Ultra,Nima Nourizadeh,96,695,5.9,2015,25759988.665604897,25951426.781372197,1.007431607142857,8,Jesse Eisenberg,Comedy,Concorde Filmverleih
1.388032,11000000,61619773,Woman in Gold,Simon Curtis,120,277,7.3,2015,10119995.5472019,56690166.216326796,5.601797545454546,4,Helen Mirren,Drama,BBC Films
1.3766049999999999,30000000,105011053,Sisters,Jason Moore,118,399,5.9,2015,27599987.856005296,96610126.25154442,3.500368433333333,12,Tina Fey,Comedy,Little Stranger
1.360926,12000000,32248241,Project Almanac,Dean Israelite,106,637,6.3,2015,11039995.1424021,29668368.665917702,2.687353416666667,1,Jonny Weston,Science Fiction,Paramount Pictures
1.3558219999999999,25000000,72629670,The Transporter Refueled,Camille Delamarre,96,407,5.3,2015,22999989.8800044,66819266.9995225,2.9051868,9,Ed Skrein,Thriller,EuropaCorp
1.345982,55000000,74679822,Crimson Peak,Guillermo del Toro,119,819,6.4,2015,50599977.7360098,68705406.0096213,1.3578149454545454,10,Mia Wasikowska,Mystery,Legendary Pictures
1.338481,14800000,122413057,Magic Mike XXL,Gregory Jacobs,115,501,6.3,2015,13615994.0089626,112619962.88721599,8.2711525,7,Channing Tatum,Comedy,Warner Bros.
1.338322,10000000,78099553,Paranormal Activity: The Ghost Dimension,Gregory Plotkin,88,267,5.0,2015,9199995.95200178,71851557.1453148,7.8099553,10,Chris J. Murray,Horror,Paramount Pictures
1.316239,15000000,8235661,Trumbo,Jay Roach,124,273,7.2,2015,13799993.9280026,7576804.78620589,0.5490440666666667,10,Bryan Cranston,Drama,Groundswell Productions
1.315266,19500000,32189727,Secret in Their Eyes,Billy Ray,111,202,6.2,2015,17939992.1064034,29614535.809604198,1.6507552307692308,10,Chiwetel Ejiofor,Crime,Ingenious Media
1.291013,74000000,311594032,The SpongeBob Movie: Sponge Out of Water,Paul Tibbitt,93,533,5.7,2015,68079970.0448131,286666383.306791,4.210730162162162,2,Tom Kenny,Family,Paramount Pictures
1.278928,20000000,43967255,Max,Boaz Yakin,111,214,7.0,2015,18399991.9040035,40449856.802063,2.19836275,6,Thomas Haden Church,Adventure,Sunswept Entertainment
1.225325,40000000,10664749,The Gunman,Pierre Morel,115,283,5.6,2015,36799983.808007106,9811564.7629115,0.266618725,2,Sean Penn,Action,StudioCanal
1.191138,1000000,62882090,Unfriended,Levan Gabriadze,82,643,5.6,2015,919999.595200178,57851497.3453411,62.88209,4,Shelley Hennig,Horror,Bazelevs Production
1.178831,35000000,51680201,Hot Pursuit,Anne Fletcher,87,472,5.5,2015,32199985.8320062,47545763.999863796,1.4765771714285714,5,Reese Witherspoon,Action,New Line Cinema
1.1647239999999999,10000000,104303851,Insidious: Chapter 3,Leigh Whannell,97,610,6.3,2015,9199995.95200178,95959500.6978197,10.4303851,6,Dermot Mulroney,Drama,Sony Pictures
1.142518,6000000,41387687,The Lady in the Van,Nicholas Hytner,104,135,5.9,2015,5519997.57120106,38076655.2862716,6.897947833333333,11,Maggie Smith,Comedy,BBC Films
1.138395,40000000,34227298,Victor Frankenstein,Paul McGuigan,109,408,5.5,2015,36799983.808007106,31489100.3047958,0.85568245,11,James McAvoy,Drama,Twentieth Century Fox Film Corporation
1.1252389999999999,8000000,3759286,Anomalisa,Duke Johnson|Charlie Kaufman,90,259,6.7,2015,7359996.76160142,3458541.59824169,0.46991075,12,Jennifer Jason Leigh,Animation,Starburns Industries
1.03839,2000000,1477002,The Diary of a Teenage Girl,Marielle Heller,102,186,6.8,2015,1839999.19040035,1358841.24210985,0.738501,8,Bel Powley,Drama,Caviar Films
1.0070540000000001,11000000,27391084,Irrational Man,Woody Allen,95,319,6.1,2015,10119995.5472019,25199786.192094002,2.4900985454545457,7,Emma Stone,Mystery,Sony Pictures
0.956096,18000000,41325328,Ricki and the Flash,Jonathan Demme,100,152,5.5,2015,16559992.713603199,38019285.0315145,2.2958515555555556,7,Meryl Streep,Comedy,Columbia TriStar
0.950793,12000000,60273173,The Perfect Guy,David M. Rosenthal,100,122,5.6,2015,11039995.1424021,55451294.7614303,5.022764416666667,9,Michael Ealy,Drama,Screen Gems
0.9376200000000001,10000000,7587485,While We're Young,Noah Baumbach,97,265,5.9,2015,9199995.95200178,6980483.12858742,0.7587485,3,Ben Stiller,Drama,Scott Rudin Productions
0.9273389999999999,40000000,106511453,Get Hard,Etan Cohen,100,661,5.9,2015,36799983.808007106,97990493.6441828,2.662786325,3,Will Ferrell,Comedy,Gary Sanchez Productions
0.9060360000000001,25000000,24902723,The 33,Patricia Riggen,120,262,5.8,2015,22999989.8800044,22910495.079382103,0.99610892,8,Antonio Banderas,History,Alcon Entertainment
0.898295999999999,14000000,16002420,Suffragette,Sarah Gavron,106,231,7.1,2015,12879994.3328024,14722219.9222232,1.14303,10,Carey Mulligan,Drama,Ruby Films
0.880937999999999,6000000,11122090,We Are Your Friends,Max Joseph,96,412,6.2,2015,5519997.57120106,10232318.297779901,1.8536816666666667,8,Zac Efron,Drama,Working Title Films
0.8324870000000001,10000000,85978266,The Second Best Exotic Marigold Hotel,John Madden,122,196,6.4,2015,9199995.95200178,79099969.91601321,8.5978266,2,Dev Patel,Drama,Participant Media
0.829111,20000000,6420319,Little Boy,Alejandro Monteverde,106,113,7.1,2015,18399991.9040035,5906690.88105601,0.32101595,4,Jakob Salvati,Comedy,Metanoia Films
0.814206,37000000,26250020,Aloha,Cameron Crowe,105,469,5.2,2015,34039985.0224065,24150007.7739965,0.70946,5,Bradley Cooper,Adventure,Columbia Pictures
0.795762,28000000,7002261,Our Brand Is Crisis,David Gordon Green,108,122,5.7,2015,25759988.665604897,6442077.28548599,0.25008075,9,Sandra Bullock,Drama,Participant Media
0.706023,7000000,573335,Freeheld,Peter Sollett,103,86,7.1,2015,6439997.16640124,527467.967914094,0.081905,10,Julianne Moore,Romance,Double Feature Films
0.699932,3000000,695269,Love,Gaspar No̩,134,307,4.7,2015,2759998.78560053,639647.198555232,0.23175633333333334,7,Karl Glusman,Drama,Wild Bunch
0.69957,9600000,2541554,Truth,James Vanderbilt,121,89,6.4,2015,8831996.11392171,2338228.65117939,0.2647452083333333,9,Robert Redford,Drama,Echo Lake Entertainment
0.690479,10000000,10835752,Danny Collins,Dan Fogelman,107,114,6.6,2015,9199995.95200178,9968887.45368952,1.0835752,3,Al Pacino,Comedy,Big Indie Pictures
0.6895789999999989,15000000,3020664,Rock the Kasbah,Barry Levinson,100,56,5.1,2015,13799993.9280026,2779009.65723575,0.2013776,10,Bill Murray,Comedy,Shangri-La Entertainment
0.6737920000000001,1000000,14444999,"Hello, My Name Is Doris",Michael Showalter,95,87,6.6,2015,919999.595200178,13289393.2326669,14.444999,11,Sally Field,Comedy,Red Crown Productions
0.669351,13000000,1784763,The Vatican Tapes,Mark Neveldine,91,164,4.5,2015,11959994.737602301,1641981.23752825,0.13728946153846153,7,Olivia Taylor Dudley,Thriller,Lakeshore Entertainment
0.661471,8000000,1411927,99 Homes,Ramin Bahrani,112,121,6.8,2015,7359996.76160142,1298972.2684521999,0.176490875,9,Andrew Garfield,Drama,Imagenation Abu Dhabi FZ
0.6611630000000001,14000000,12314651,Hot Tub Time Machine 2,Steve Pink,93,244,5.0,2015,12879994.3328024,11329473.935031401,0.8796179285714286,2,Rob Corddry,Comedy,Paramount Pictures
0.654046,4000000,143101,Manglehorn,David Gordon Green,97,35,5.0,2015,3679998.38080071,131652.86207274,0.03577525,6,Al Pacino,Drama,Worldview Entertainment
0.602165,8000000,35991087,A Walk in the Woods,Ken Kwapis,104,171,5.4,2015,7359996.76160142,33111785.4708143,4.498885875,9,Robert Redford,Drama,Wildwood Enterprises
0.599655,3300000,64110728,The Lazarus Effect,David Gelb,83,327,4.9,2015,3035998.66416058,58981843.80798871,19.427493333333334,1,Olivia Wilde,Thriller,Lionsgate
0.577814,35000000,14431253,Unfinished Business,Ken Scott,90,241,4.9,2015,32199985.8320062,13276746.918231301,0.4123215142857143,3,Vince Vaughn,Comedy,Studio Babelsberg
0.570743999999999,2000000,45431,Lost River,Ryan Gosling,95,129,5.7,2015,1839999.19040035,41796.5016095392,0.0227155,4,Christina Hendricks,Fantasy,Bold Films
0.524315,10000000,3334927,By the Sea,Angelina Jolie,122,82,5.4,2015,9199995.95200178,3068131.49002214,0.3334927,11,Angelina Jolie,Drama,Plan B Entertainment
0.46208999999999995,9000000,21571189,Black or White,Mike Binder,121,72,6.7,2015,8279996.356801599,19845485.147986498,2.3967987777777777,1,Kevin Costner,Drama,Treehouse Pictures
0.45087200000000005,13000000,1646788,I Saw the Light,Marc Abraham,123,19,5.6,2015,11959994.737602301,1515044.29338051,0.126676,9,Tom Hiddleston,Drama,Bron Studios
0.43558199999999997,5000000,2333684,Jem and the Holograms,Jon M. Chu,119,69,5.7,2015,4599997.97600089,2146988.33532513,0.4667368,10,Aubrey Peeples,Drama,Universal Pictures
0.424813,6000000,90777,Beasts of No Nation,Cary Fukunaga,137,306,7.5,2015,5519997.57120106,83514.8032534865,0.0151295,9,Idris Elba,Drama,Participant Media
0.41491300000000003,3000000,3387000,Demonic,Will Canon,83,91,5.0,2015,2759998.78560053,3116038.628943,1.129,2,Maria Bello,Thriller,Icon Entertainment International
0.40223600000000004,447524,771317,The D Train,Andrew Mogel|Jarrad Paul,101,47,4.2,2015,411721.89884236397,709611.327771015,1.7235209731768575,5,Jack Black,Drama,Ealing Studios
0.36590100000000003,10000000,17472,Strangerland,Kim Farrant,111,48,5.0,2015,9199995.95200178,16074.2329273375,0.0017472,7,Nicole Kidman,Drama,Worldview Entertainment
